6213,1,6.8
5485,1,8.8
1277,1,10.0
12349,1,9.0
2161,1,8.6
11084,1,6.8
5526,1,6.8
8826,1,7.6
10503,1,1.0
3563,1,9.2
5053,1,4.8
9613,1,8.8
10735,1,5.0
12257,30,6.8
10789,1,7.4
2,1,7.6
9010,1,6.2
11397,1,6.8
10423,1,8.4
1463,1,6.0
10914,1,7.6
8695,1,8.0
10626,30,7.6
4307,1,8.0
8957,1,6.4
6457,1,6.6
9406,1,7.6
2042,1,7.8
3078,1,9.0
611,1,8.2
7513,1,5.8
9312,1,7.8
10013,1,7.8
10377,1,7.8
11568,1,8.8
6225,1,6.8
11483,1,7.6
6058,1,7.4
7555,1,7.6
7520,1,7.0
11193,112,7.4
9458,1,7.4
11197,1,7.4
2687,1,7.0
10987,1,8.2
11198,1,6.6
3075,1,8.8
3663,1,7.0
11410,1,7.4
487,1,7.8
10108,1,7.4
10430,1,7.2
8887,1,7.4
7155,1,7.8
7413,1,7.6
864,1,7.0
7686,1,8.6
8569,1,7.0
7968,1,8.4
4692,1,7.2
10552,1,7.6
8178,1,7.2
9603,1,8.8
10391,1,8.4
9995,1,6.8
7234,136,9.0
8673,1,7.0
8887,1,7.6
4224,1,7.0
2771,328,4.8
7730,1,8.8
5487,1,7.4
9891,1,8.2
8509,1,7.4
778,1,5.0
864,1,7.6
661,1,7.0
2350,1,7.6
4207,1,7.8
4720,263,7.2
1719,1,7.0
11267,1,5.6
3659,1,7.0
3659,1,7.0
4581,1,7.0
3645,1,6.6
2802,1,8.0
3108,1,8.0
3987,1,7.0
9513,1,8.4
3684,1,8.0
7161,1,8.8
3663,1,6.8
10430,1,7.4
12005,1,7.8
11006,449,7.6
4815,1,7.8
7604,1,7.6
10103,1,7.0
7528,1,7.4
10377,1,8.0
2126,1,7.2
6440,4,7.8
4548,8,7.8
7413,8,7.4
675,8,7.6
5659,8,6.4
11613,8,4.6
8031,4,8.0
8796,4,8.0
11307,10,6.8
11197,4,8.0
8031,4,8.4
10993,4,10.0
436,4,7.2
3677,4,8.0
8868,4,9.2
4295,4,7.6
8031,4,8.4
8031,4,8.4
8031,4,8.4
14,4,9.2
12285,4,7.2
8035,4,8.8
8031,4,8.6
1413,4,6.8
10430,4,7.6
2174,4,9.8
7469,4,8.8
8612,4,7.6
8538,4,8.8
9166,19,8.8
8451,4,7.8
11710,4,7.2
11457,4,8.4
11085,4,9.0
8341,4,8.0
7604,4,8.4
2204,4,7.4
7634,4,8.2
11691,4,7.8
9268,4,8.0
3828,4,7.2
11017,4,8.4
514,4,7.2
5763,4,7.8
8636,4,7.2
2661,4,8.4
174,4,7.2
3324,4,7.8
6458,4,7.6
6081,4,7.8
10893,4,10.0
5823,4,7.8
11758,4,7.0
6048,4,8.4
5447,4,7.8
4510,4,7.8
6515,4,6.4
2337,4,8.0
6726,4,7.0
6417,4,8.4
7670,4,8.4
4586,4,8.4
9688,4,8.6
1309,4,7.6
7658,4,7.6
9087,4,8.0
